equipment_category,n_observations,mean_error,std_error,mae,wape
Drone,360,0.09929742194446642,2.3564392271088352,1.2764854624333932,0.6828154033819043
Audio,360,0.2601705496211707,4.269037126668772,2.4940613991424376,0.5834061752379971
Camera,400,0.572058993431958,4.068691617973723,2.1731724497119886,0.5659303254458304
Lens,400,0.18902315961454222,2.700363328324282,1.7093705429351183,0.5618309097568178
Battery,320,0.13817722704486274,8.993037246686315,5.0379736083149025,0.4701521010967538
Monitor,320,0.485817775920027,3.5866292262797335,2.151452904879058,0.44560836864808967
Lighting,440,0.6424077650482772,4.823043617373835,2.992969973771926,0.41399144560190115
Grip,400,0.5951802803580859,5.790859511369941,3.194280855144648,0.40003517284216
